"Início dos relatórios","Término dos relatórios","Nome do anúncio","Veiculação do anúncio",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Custo por candidatura enviada (BRL)","Apps enviados","Inscrições no app para celular enviadas","Apps do site enviados","Candidaturas enviadas offline","Inscrições na Meta enviadas","Finalizações de compra iniciadas","Finalizações de compra iniciadas no app para celular","Finalizações de compra iniciadas no site","Finalizações de pagamento iniciadas offline","Finalizações da compra iniciadas na Meta","Custo por finalização de compra iniciada (BRL)",Compras,"Compras no app","Compras no site","Compras offline","Compras na Meta","Custo por compra (BRL)","Nome da campanha","Identificação da campanha","Nome do conjunto de anúncios","Identificação do conjunto de anúncios"
2026-03-16,2026-03-17,"AD149 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 02",not_delivering,,,0,0,,200,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD149 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 02",120238010963330163
2026-03-16,2026-03-17,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,,,0,0,,150,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",120238323485780163
2026-03-16,2026-03-17,"AD183 [MDA] [VID] VENDA - REMARKETING 12",not_delivering,,,0,0,,50,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[13/12/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL A] [R$ 197,00] [1]",120238623515480163,"00 - Page View VSL A - 180D - AD183 [MDA] [VID] VENDA - REMARKETING 12",120238625480720163
2026-03-16,2026-03-17,"AD155 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 07",not_delivering,,,0,0,,150,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-03-16,2026-03-17,"AD58 [MDA] [VID] VENDA - AQUI O MEU CANAL JÁ TINHA",not_delivering,,,0,0,,150,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-03-16,2026-03-17,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,,,0,0,,150,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-03-16,2026-03-17,"AD150 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 03",not_delivering,,,0,0,,150,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-03-16,2026-03-17,"AD154 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 06",not_delivering,,,0,0,,150,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-03-16,2026-03-17,"AD165 [MDA] [VID] VENDA - REMARKETING 4",not_delivering,,,0,0,,100,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[24/01/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [5]",120240432066700163,"00 - Page View VSL C - 180D - Best Ads Geral Jan",120240432066830163
2026-03-16,2026-03-17,"AD182 [MDA] [VID] VENDA - REMARKETING 11",not_delivering,,,0,0,,100,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[24/01/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [5]",120240432066700163,"00 - Page View VSL C - 180D - Best Ads Geral Jan",120240432066830163
